Unnamed: 0,address,categories,city,country,latitude,longitude,name,postalCode,province,websites
10,4105 Peach St,Fast Food Restaurant,Erie,US,42.092031,-80.084087,Arby's,16509,PA,"http://www.arbys.com,http://arbys.com"
11,3720 Pine Ave,"American Restaurant, Fast Food Restaurant, and Sandwich Place",Erie,US,42.108355,-80.050799,Arby's,16504,PA,"http://www.arbys.com,https://locations.arbys.com/us/pa/erie/3720-pine-ave.html,http://locations.arbys.com/us/pa/erie/3720-pine-ave.html,http://arbys.com"
26,3200 Chestnut St,Fast Food,Philadelphia,US,39.95343,-75.188171,Shake Shack,19104,PA,"http://www.shakeshack.com,https://www.shakeshack.com/location/university-city/"
33,3104 W 26th St,Fast Food Restaurants,Erie,US,42.086667,-80.142521,Subway,16506,PA,http://subway.com
34,8035 Perry Hwy,Fast Food Restaurants,Erie,US,42.068814,-80.038942,Subway,16509,PA,http://www.subway.com
35,1501 E 38th St,Fast Food Restaurants,Erie,US,42.114222,-80.034149,Subway,16510,PA,http://www.subway.com
41,4001 N 5th St,Fast Food,Philadelphia,US,40.011978,-75.135868,KFC - Kentucky Fried Chicken,19140,PA,http://www.kfc.com/
43,201 N 63rd St,"Pizza Place, Fried Chicken Joint, and Fast Food Restaurant",Philadelphia,US,39.96589,-75.245925,West Point Pizza,19139,PA,http://www.manta.com/c/mmsygf2/west-point-pizza
45,2604 E Somerset St,Fast Food,Philadelphia,US,39.980387,-75.113118,Tacconelli's Pizza,19134,PA,http://www.tacconellispizzeria.com
46,2805 N 22nd St,Sandwich Place and Fast Food Restaurant Allegheny West,Philadelphia,US,39.997345,-75.166952,Sumo Steaks,19132,PA,http://sumosteaks.com
48,1000 Airport Blvd,Fast Food Restaurants,Pittsburgh,US,40.496025,-80.256707,Charley's Grilled Subs,15231,PA,http://www.charleyssteakery.com
50,2233 S Woodstock St,Fast Food Restaurants,Philadelphia,US,39.9237,-75.18028,King of Wings,19145,PA,"http://www.kingofwings1.com,http://www.kingofwings1.com/,http://kingofwings1.com"
53,3400 Aramingo Ave,Fast Food Restaurants,Philadelphia,US,39.99126,-75.101455,Subway,19134,PA,http://subway.com
54,2201 Walnut St,Fast Food Restaurants,Philadelphia,US,39.950944,-75.177461,Subway,19103,PA,http://www.subway.com
58,3705 Germantown Ave,Fast Food,Philadelphia,US,40.009414,-75.150843,Dunkin' Donuts,19140,PA,"http://www.dunkindonuts.com,https://www.dunkindonuts.com/,http://dunkindonuts.com"
59,2901 Abbottsford Ave,Fast Food,Philadelphia,US,40.017422,-75.17215,Dunkin' Donuts,19129,PA,"http://www.dunkindonuts.com,http://dunkindonuts.com"
60,2318 N Front St,Fast Food,Philadelphia,US,39.985098,-75.132111,Dunkin' Donuts,19133,PA,http://www.dunkindonuts.com
61,221 W Hunting Park Ave,Fast Food,Philadelphia,US,40.014433,-75.130667,Dunkin' Donuts,19140,PA,"http://www.dunkindonuts.com,https://www.dunkindonuts.com/"
62,2327 Cottman Ave,Fast Food,Philadelphia,US,40.048325,-75.061035,Dunkin' Donuts,19149,PA,"http://www.dunkindonuts.com,http://dunkindonuts.com"
63,1501 N 52nd St,Fast Food,Philadelphia,US,39.977237,-75.226766,Dunkin' Donuts,19131,PA,"http://www.dunkindonuts.com,http://www.dunkindonuts.com/,http://dunkindonuts.com"
64,3050 Churchview Ave,Fast Food Restaurants,Pittsburgh,US,40.385779,-79.96767,The Pizza Company,15227,PA,http://www.thepizzacompany.biz
66,4310 Union Deposit Rd,"Fast Food Restaurant, American Restaurant, and Sandwich Place",Harrisburg,US,40.279585,-76.812669,Arby's,17111,PA,http://www.arbys.com
67,4310 Union Deposit Rd,Fast Food,Harrisburg,US,40.279585,-76.812669,Arby's,17111,PA,http://www.arbys.com
68,2812 W 26th St,"Fast Food Restaurant, American Restaurant, and Sandwich Place",Erie,US,42.089303,-80.135565,Arby's,16506,PA,"http://www.arbys.com,http://arbys.com"
69,431 N 62nd St,Fast Food Restaurants,Philadelphia,US,39.969326,-75.243301,Jim's Steaks,19151,PA,"http://jimssteaksphilly.com,http://www.jimssteaks.com,http://jimssteaksphilly.com/"
74,3925 Walnut St,Fast Food Restaurants,Philadelphia,US,39.954332,-75.201935,Bobby's Burger Palace,19104,PA,http://www.bobbysburgerpalace.com
84,450 Schoolhouse Rd,Fast Food Restaurants,Johnstown,US,40.269558,-78.837952,Subway,15904,PA,"http://www.subway.com,http://subway.com"
94,7221 Torresdale Ave,Fast Food,Philadelphia,US,40.029518,-75.036344,Dunkin' Donuts,19135,PA,http://www.dunkindonuts.com
95,701 Market St,Fast Food,Philadelphia,US,39.950954,-75.152012,Dunkin' Donuts,19106,PA,"http://www.dunkindonuts.com,http://www.dunkindonuts.com/"
96,5753 Wayne Ave,Fast Food,Philadelphia,US,40.032183,-75.17969,Dunkin' Donuts,19144,PA,http://www.dunkindonuts.com
98,461 Clairton Blvd,Fast Food Restaurant,Pittsburgh,US,40.335529,-79.947258,Chick-fil-A,15236,PA,http://www.chick-fil-a.com/pleasanthills
101,1000 Ross Park Mall Dr,Fast Food Restaurant,Pittsburgh,US,40.541146,-80.006528,Chick-fil-A,15237,PA,http://www.chick-fil-a.com/rossparkmall
102,901 Market St,Fast Food,Philadelphia,US,39.951333,-75.155183,Chick-fil-A,19107,PA,http://chick-fil-a.com/
103,2204 S Columbus Blvd,Fast Food Restaurant,Philadelphia,US,39.919417,-75.140662,Chick-fil-A,19148,PA,"http://www.chick-fil-a.com/columbuscommons,https://www.chick-fil-a.com/Locations/PA/Columbus-Commons"
127,1508 Scalp Ave,Fast Food Restaurants,Johnstown,US,40.26938,-78.85706,Burger King,15904,PA,"https://locations.bk.com/pa/johnstown/1508-scalp-ave.html,https://www.bk.com,http://www.bk.com"
128,440 Galleria Dr,Fast Food Restaurants,Johnstown,US,40.293916,-78.838107,Burger King,15904,PA,"https://locations.bk.com/pa/johnstown/440-galleria-dr.html,http://www.bk.com"
130,3253 Paxton St,Fast Food Restaurant,Harrisburg,US,40.254298,-76.834182,Burger King,17111,PA,"https://locations.bk.com/pa/harrisburg/3253-paxton-st.html,http://www.bk.com"
145,1037 Chestnut St,Fast Food Restaurants,Philadelphia,US,39.950332,-75.158423,Taco Bell,19107,PA,"http://tacobell.com,https://locations.tacobell.com/pa/philadelphia/1037-chestnut-st.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=029331andutm_content=website"
146,1037 Chestnut St,Fast Food Restaurant,Philadelphia,US,39.950332,-75.158423,Taco Bell,19107,PA,"http://tacobell.com,https://locations.tacobell.com/pa/philadelphia/1037-chestnut-st.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=029331andutm_content=website"
150,3417 Forbes Ave,"Fast Food Restaurant, American Restaurant, and Sandwich Place",Pittsburgh,US,40.439155,-79.960715,Arby's,15213,PA,"http://arbys.com/our-menu,http://www.arbys.com"
151,3417 Forbes Ave,Fast Food Restaurant,Pittsburgh,US,40.439155,-79.960715,Arby's,15213,PA,"http://arbys.com/our-menu,http://www.arbys.com"
152,4810 McKnight Rd,Fast Food Restaurant,Pittsburgh,US,40.525383,-80.004974,Arby's,15237,PA,"http://www.arbys.com,https://locations.arbys.com/us/pa/pittsburgh/4810-mcknight-rd.html"
155,577 Franklin Mills Blvd,"Fast Food Restaurant, American Restaurant, and Sandwich Place Northeast Philadelphia",Philadelphia,US,40.089864,-74.964175,Arby's,19154,PA,"http://www.arbys.com,https://locations.arbys.com/us/pa/philadelphia/577-franklin-mills-blvd.html,http://arbys.com"
161,1243 Scalp Ave,Fast Food Restaurants,Johnstown,US,40.276861,-78.860262,Arby's,15904,PA,"http://www.arbys.com,https://locations.arbys.com/us/pa/johnstown/1243-scalp-ave.html,http://locations.arbys.com/us/pa/johnstown/1243-scalp-ave.html"
162,7521 New Perry Hwy,"Fast Food Restaurant, American Restaurant, and Sandwich Place",Erie,US,42.072191,-80.04191,Arby's,16509,PA,"http://www.arbys.com,http://arbys.com"
164,4300 Roosevelt Blvd,Fast Food,Philadelphia,US,40.029759,-75.105425,Charlie's Pizzeria,19124,PA,http://charlies-pizzeria.com
169,520 Galleria Dr,Fast Food Restaurants,Johnstown,US,40.297204,-78.835989,Long John Silver's,15904,PA,http://www.ljsilvers.com
182,219 Haynes St,Fast Food Restaurant,Johnstown,US,40.320764,-78.919648,McDonald's,15901,PA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
